"Tutte le cittadinanze - Anno: 2014"
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Codice regione;Regione;Totale
20;Sardegna;11732;12298;12783;13264;13288;13294;13334;13407;13467;13299;13773;13508;13862;14192;13986;13681;13954;14266;14738;15093;15695;16399;16985;17657;17576;17826;18013;18151;18873;19121;19594;20469;20523;21198;21402;23279;23870;24716;25912;26958;26993;26716;26721;26141;27273;26499;27385;27648;27620;28232;26984;26262;25870;25131;24566;24165;24193;23645;23144;23394;22266;21994;21674;21837;21175;21672;20740;19434;18237;17862;17259;17635;16423;17886;16785;15185;13938;13639;12376;12713;12117;10896;10028;10026;8697;8072;6780;6353;5068;4637;3884;3027;2231;1933;1274;691;503;470;398;250;445
;Totale;512140;533916;540449;556034;565065;571660;569197;569486;565785;570842;565982;561945;567704;577668;567354;567577;566463;568311;568901;579167;594700;619721;620480;631701;632953;648419;636582;641031;663290;676818;690730;714079;720876;738827;764214;806028;833437;871033;912952;951165;945705;955513;965669;958096;984531;978283;982281;992630;991370;1004792;942604;911065;893005;865620;845199;807908;800398;784350;769691;757655;722856;711376;709028;734434;738110;769765;751469;750428;577444;591984;595286;588705;588597;642389;626150;601241;549087;507003;507613;479630;452313;420843;403312;394704;339153;309266;278125;244281;212907;182769;156364;126828;103609;81437;41835;24229;19375;17158;15362;11153;17252
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
"Tutte le cittadinanze - Anno: 2015"
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Codice regione;Regione;Totale
01;Piemonte;34448;35531;37043;37239;38109;39218;39478;39294;38777;38421;38235;38349;37663;37760;38946;37749;37906;37571;37121;37259;37641;37998;39320;39897;40793;40701;42029;41531;42796;44364;44874;46433;48556;48989;50334;52054;55603;58583;61365;65295;67898;67982;69557;70786;70378;72703;72265;72287;72640;72586;73569;68796;66252;65478;63526;62155;60401;60168;59035;58005;57053;55167;55318;54410;56730;57342;60482;59087;57711;44114;47339;47057;47627;47946;52321;51768;50148;45642;41910;41527;38431;35927;34323;32393;31493;27086;23805;21137;18009;15340;12682;10689;8791;7013;5216;2580;1529;1187;1002;934;1556
02;Valle D'Aosta/Vallée D'Aoste;1107;1060;1173;1210;1188;1258;1231;1247;1235;1167;1179;1196;1150;1193;1228;1180;1138;1072;1155;1092;1069;1100;1158;1161;1228;1221;1289;1280;1272;1316;1331;1393;1426;1328;1476;1444;1722;1629;1768;1876;1999;2020;2043;2122;2099;2240;2167;2222;2232;2185;2311;2145;1946;1970;1803;1900;1711;1720;1688;1674;1664;1623;1544;1560;1576;1631;1684;1591;1523;1165;1267;1327;1362;1359;1400;1328;1317;1132;1055;1023;939;937;846;855;848;707;654;563;508;408;309;269;261;215;127;76;50;38;27;21;40
03;Lombardia;85920;88298;92140;93861;96806;98846;98704;97266;97642;95200;95279;93279;92094;92855;93853;91445;90732;89783;88905;87844;88527;90133;92720;93391;95477;96692;100483;99477;100932;106307;109735;113932;119304;120995;124155;128220;135859;142397;148470;158725;164180;163883;165715;166094;164834;169095;168570;167891;171375;169868;169058;157954;149904;145376;140305;136746;130246;127953;125869;122201;119741;116063;115512;114423;119228;120380;124626;120732;124204;91411;97796;96351;97939;99932;107885;105007;100511;89492;80671;81155;74777;69525;65728;61206;58043;50294;44694;39303;33757;29124;24833;20732;16092;13168;9958;5036;2777;2215;1912;1697;3039
04;Trentino-Alto Adige/Südtirol;10320;10420;10653;10692;11011;10841;11097;10966;11019;11206;11333;11046;10982;11256;11474;11438;11406;11395;11333;11070;11192;11132;11492;11449;11482;11449;11523;11433;11465;11746;11911;12376;12661;12656;12854;12942;13683;13783;14305;15083;15995;16151;16356;16937;16705;17638;17424;17380;17759;17957;17856;16749;15868;15823;15192;14705;13816;13526;13113;12568;12161;11944;11683;11408;11786;11213;11637;11340;12164;8633;9912;10480;10341;10327;9841;9440;8908;7925;7390;7211;6895;6550;6225;5840;5767;4912;4551;4048;3547;3220;2739;2462;1996;1597;1194;649;264;195;156;173;365
