Region,Year,MenB,MenC,Known serogroup,Total cases,Pop,MenB per 100000,MenC per 100000,Known serogroup per 100000,Total cases per 100000
Calabria,2023,0,0,0,0,1846610.0,0.0,0.0,0.0,0.0
Campania,2014,0,0,0,15,5812768.0,0.0,0.0,0.0,0.2580526179610127
Campania,2015,0,0,0,11,5804370.0,0.0,0.0,0.0,0.18951238463433584
Campania,2016,4,7,17,32,5790783.0,0.06907528740068485,0.12088175295119848,0.2935699714529106,0.5526022992054788
Campania,2017,7,2,16,21,5776654.0,0.121177415161095,0.034622118617455705,0.27697694893964564,0.36353224548328494
Campania,2018,6,6,20,21,5762889.0,0.10411444676446135,0.10411444676446135,0.34704815588153787,0.3644005636756148
Campania,2019,5,7,13,19,5740291.0,0.08710359805800787,0.121945037281211,0.22646935495082043,0.3309936726204299
Campania,2020,1,0,1,5,5712143.0,0.0175065645240324,0.0,0.0175065645240324,0.08753282262016199
Campania,2021,0,0,0,2,5624260.0,0.0,0.0,0.0,0.03556023370185589
Campania,2022,1,0,1,4,5624420.0,0.0177796110532286,0.0,0.0177796110532286,0.0711184442129144
Campania,2023,2,0,2,4,5609536.0,0.03565357277322046,0.0,0.03565357277322046,0.07130714554644092
Emilia-Romagna,2014,7,3,14,16,4432241.0,0.15793365026856618,0.06768585011509978,0.31586730053713236,0.3609912006138656
Emilia-Romagna,2015,5,4,13,14,4434377.0,0.11275541073751737,0.09020432859001389,0.2931640679175451,0.3157151500650486
Emilia-Romagna,2016,9,6,18,18,4435480.0,0.20290926799354297,0.13527284532902864,0.40581853598708595,0.40581853598708595
Emilia-Romagna,2017,4,7,23,24,4439768.0,0.09009479774618853,0.15766589605582995,0.5180450870405842,0.5405687864771312
Emilia-Romagna,2018,5,0,8,8,4445920.0,0.1124626623960845,0.0,0.1799402598337352,0.1799402598337352
Emilia-Romagna,2019,10,2,16,17,4459453.0,0.22424274905464864,0.04484854981092973,0.3587883984874378,0.38121267339290266
Emilia-Romagna,2020,6,1,7,7,4464119.0,0.13440501922103779,0.022400836536839632,0.15680585575787742,0.15680585575787742
Emilia-Romagna,2021,1,0,2,4,4438937.0,0.022527916030346904,0.0,0.04505583206069381,0.09011166412138762
Emilia-Romagna,2022,4,0,4,7,4425366.0,0.09038800406565242,0.0,0.09038800406565242,0.15817900711489175
Emilia-Romagna,2023,6,1,10,10,4437578.0,0.13520889097611355,0.022534815162685594,0.2253481516268559,0.2253481516268559
Friuli-Venezia Giulia,2014,0,0,0,0,1224984.0,0.0,0.0,0.0,0.0
Friuli-Venezia Giulia,2015,0,0,2,2,1221664.0,0.0,0.0,0.16371113497655657,0.16371113497655657
Friuli-Venezia Giulia,2016,2,0,2,2,1216208.0,0.16444555536552957,0.0,0.16444555536552957,0.16444555536552957
Friuli-Venezia Giulia,2017,1,0,1,1,1212809.0,0.08245321398505454,0.0,0.08245321398505454,0.08245321398505454
Friuli-Venezia Giulia,2018,1,0,2,2,1211155.0,0.08256581527550148,0.0,0.16513163055100297,0.16513163055100297
